Concatenate,Category,Job Group,Grade,수준 정의,세부지표 키워드,세부지표 설명
OperationsS&K3세부지표4,세부지표4,Operations,S&K3,Build 360 Workflow,4. 프로젝트 관리,"Data 기반을 바탕으로 한 다양한 지식의 분석 및 복합적인 문제 정의를 통해, 프로젝트를 기획하고 성과를 창출한다."
OperationsS&K3세부지표5,세부지표5,Operations,S&K3,Build 360 Workflow,5. 전략적 요구 대응,"팀/유관부서와의 협력을 통해 여러 팀의 지식을 종합해 협력하고, 복합적인 문제를 해결하며 목표 달성에 기여한다."
OperationsS&K2세부지표1,세부지표1,Operations,S&K2,Practical Experience,1. 프로세스 이해,"실무 중심의 프로세스를 이해하고 처리하여, 조직 내 다양한 업무와 변수에 적절히 대처한다."
OperationsS&K2세부지표2,세부지표2,Operations,S&K2,Practical Experience,2. 업무 독립성,"체계적인 업무 수행 역량을 바탕으로, 프로젝트를 이해하고, 능동적으로 주어진 과제를 완수하여 조직의 기대에 부합하는 결과를 효과적으로 도출한다."
OperationsS&K2세부지표3,세부지표3,Operations,S&K2,Practical Experience,3. 문제 해결,"서비스 장애 발생 시 라이브 상황을 모니터링하고, 이슈가 발생하면 스스로 문제를 파악하여 해결한다."
OperationsS&K2세부지표4,세부지표4,Operations,S&K2,Practical Experience,4. 데이터 관리,"모니터링 및 이슈 관리 과정에서 시스템 데이터를 정확하게 관리하고 활용하여, 서비스 운영의 안정성을 확보한다."
OperationsS&K2세부지표5,세부지표5,Operations,S&K2,Practical Experience,5. 분석적 사고,"할당된 작업을 정밀하게 수행할 뿐만 아니라, 과정을 더 깊이 이해하고 분석하여 개선한다."
OperationsS&K1세부지표1,세부지표1,Operations,S&K1,Basic Job Knowledge,1. 기본 지식 이해,GGPoker가 속해있는 산업군과 i-Gaming에 대한 이해를 바탕으로 업무를 수행한다.
OperationsS&K1세부지표2,세부지표2,Operations,S&K1,Basic Job Knowledge,2. 업무 수행,작업에 대한 전반적인 프로세스를 이해하고 기본적인 업무를 수행한다.
OperationsS&K1세부지표3,세부지표3,Operations,S&K1,Basic Job Knowledge,3. 문제 보고,"업무 중 발생하는 문제를 적시에 보고하고, 필요한 경우 기본 수준에서 해결 방안을 제시함으로써 업무의 원활한 진행을 지원한다."
OperationsS&K1세부지표4,세부지표4,Operations,S&K1,Basic Job Knowledge,4. 시스템 활용,기본 시스템 및 도구를 사용하여 업무를 수행한다.
OperationsS&K1세부지표5,세부지표5,Operations,S&K1,Basic Job Knowledge,5. 피드백 반영,"상사의 피드백을 반영하여 컴퓨터 활용 및 문서 처리 능력을 개선하고, 업무 효율성을 높이는 방향으로 지속적으로 개선한다."
MarketingS&K6세부지표1,세부지표1,Marketing,S&K6,Global Innovator,1. 혁신적 비전 제시,"Martech, 기술 트렌드, 산업 방향성을 반영한 글로벌 차원의 마케팅 전략을 수립하고, 미디어 환경과 Ecosystem 재편을 통해 업계 표준을 제시하는 비전 제시한다."
MarketingS&K6세부지표2,세부지표2,Marketing,S&K6,Global Innovator,2. 글로벌 프로젝트 리딩,"전사 전략에 대해 시스템적 조언을 경영진에게 제공하고, 글로벌 관점에서 비즈니스 목표와 연계된 혁신적 전략을 추진하며, 글로벌 혁신 프로젝트를 리딩한다."
MarketingS&K6세부지표3,세부지표3,Marketing,S&K6,Global Innovator,3. Global Industry Leader,"조직 내 최신 기술 동향과 기술적 노하우를 파악하여 전체에 전파하고, 기술적 비전과 프로덕트 방향을 제시하여 업계를 선도하고 글로벌 성과를 극대화한다."
MarketingS&K6세부지표4,세부지표4,Marketing,S&K6,Global Innovator,4. 글로벌 리더십,"글로벌 최고 마케팅 전문가로서 글로벌 산업을 리드하며, 글로벌 시장에서 기술과 비즈니스의 혁신을 주도한다."
MarketingS&K6세부지표5,세부지표5,Marketing,S&K6,Global Innovator,5. 글로벌 파트너 협력,"글로벌 파트너와 협력하여 산업 변화에 맞춘 기술 혁신과 마케팅 전략을 주도하며, 조직의 글로벌 경쟁력을 강화한다."
MarketingS&K5세부지표1,세부지표1,Marketing,S&K5,Innovation,1. 혁신적 설계,"도메인 지식을 바탕으로 글로벌 시장 진입과 확장을 주도하며, 장기적인 비즈니스 성장을 위한 혁신적 솔루션을 설계하고 실행한다."
MarketingS&K5세부지표2,세부지표2,Marketing,S&K5,Innovation,2. 시장 변화 대응,"시장 데이터를 기반으로 장기적 시장 변화와 소비자 행동을 예측하고, 이러한 통찰을 반영하여 시장의 변화에 맞춘 혁신적 마케팅 전략을 수립한다."
MarketingS&K5세부지표3,세부지표3,Marketing,S&K5,Innovation,3. 기술 및 비즈니스 융합,"미디어 환경의 변화를 반영한 분석 모델 개발과 디지털 마케팅 혁신을 주도하여, 최신 기술을 비즈니스 전략에 융합함으로써 시장에서 차별화된 성과를 달성한다."
MarketingS&K5세부지표4,세부지표4,Marketing,S&K5,Innovation,4. 성과 지속성,시장 데이터를 기반으로 한 심층 분석을 통한 장기적인 시장 변화와 소비자 행동 예측모델 기반으로 혁신적인 마케팅 전략 기획 및 지속가능한 성장 기반을 구축한다.
MarketingS&K5세부지표5,세부지표5,Marketing,S&K5,Innovation,5. 미래 기술 적용,"마케팅 분야의 기술적 혁신을 지속적으로 추진하며, 미래를 대비한 기술 솔루션을 도입하여 업계에서 기술적 경쟁 우위를 유지한다."
MarketingS&K4세부지표1,세부지표1,Marketing,S&K4,Providing Solutions,1. 솔루션 제시,Industry에 대한 심층적 이해를 바탕으로 조직의 마케팅 이슈룰 분석하고 사용자 중심의 마케팅 전략을 구축한다.
MarketingS&K4세부지표2,세부지표2,Marketing,S&K4,Providing Solutions,2. 다수 프로젝트 리딩,"조직 내 공동 목표 달성을 위해 여러 프로젝트의 Milestone을 효율적으로 관리하며, 전사적인 프로젝트를 리딩/ 완수하여 조직 성과를 극대화한다."
MarketingS&K4세부지표3,세부지표3,Marketing,S&K4,Providing Solutions,3. 혁신적 솔루션 적용,새로운 마케팅 기법과 트렌드를 도입하여 업계 전반에 대한 통찰을 통해 최적의 마케팅 전략을 기획 및 실행함으로써 문제를 혁신적으로 해결한다.
MarketingS&K4세부지표4,세부지표4,Marketing,S&K4,Providing Solutions,4. Long term 프로젝트 관리,Long Term Project 전반에 걸친 계획을 수립하고 최적의 솔루션을 제안하고 프로젝트가 원활히 진행될 수 있도록 주도적으로 협의한다.
MarketingS&K4세부지표5,세부지표5,Marketing,S&K4,Providing Solutions,5. 지속적 개선,새로운 마케팅 기법과 업계 전반에 대한 트렌드/인사이트를 끊임없이 탐구하여 결과물을 개선한다.
MarketingS&K3세부지표1,세부지표1,Marketing,S&K3,Build 360 Workflow,1. 프로세스 고도화,"타 조직의 다양한 관점을 폭넓게 통합하여 기존 프로세스를 지속적으로 개선하고, 업무 수행의 품질을 향상한다."
MarketingS&K3세부지표2,세부지표2,Marketing,S&K3,Build 360 Workflow,2. 프로젝트 리딩,"다양한 데이터 분석 도구를 활용하여 캠페인 성과 지표를 모니터링하고, 핵심 마일스톤에 도달할 수 있도록 방향성을 제시한다."
MarketingS&K3세부지표3,세부지표3,Marketing,S&K3,Build 360 Workflow,3. 복합적 문제해결,Data 기반의 지식 분석과 복합적인 문제 정의를 통해 발생한 문제를 신속하게 해결한다.
MarketingS&K3세부지표4,세부지표4,Marketing,S&K3,Build 360 Workflow,4. 프로젝트 관리,"Data 기반을 바탕으로 한 다양한 지식의 분석 및 복합적인 문제 정의를 통해, 프로젝트를 기획하고 성과를 창출한다."
MarketingS&K3세부지표5,세부지표5,Marketing,S&K3,Build 360 Workflow,5. 전략적 요구 대응,미디어 Tracking & Monitoring 기준에 대한 이해를 바탕으로 팀/유관부서와 협력하여 미디어 효과를 극대화하는 솔루션을 제시하고 구현한다.
MarketingS&K2세부지표1,세부지표1,Marketing,S&K2,Practical Experience,1. 프로세스 이해,"개인정보 보호 및 정보보안에 대한 지식을 바탕으로 실무 중심의 프로세스를 이해하고, 이를 마케팅 활동에 적절히 반영하여 관리한다."
MarketingS&K2세부지표2,세부지표2,Marketing,S&K2,Practical Experience,2. 업무 독립성,"체계적인 업무 수행 역량을 바탕으로, 프로젝트를 이해하고, 능동적으로 주어진 과제를 완수하여 조직의 기대에 부합하는 결과를 효과적으로 도출한다."
MarketingS&K2세부지표3,세부지표3,Marketing,S&K2,Practical Experience,3. 문제 해결,"캠페인 목표에 맞는 효과적이고 효율적인 전략적 기획 및 운영을 통해 미디어별 목표를 달성하며, 발생하는 문제를 주도적으로 해결한다."
MarketingS&K2세부지표4,세부지표4,Marketing,S&K2,Practical Experience,4. 데이터 관리,"캠페인 목표에 따른 시스템 데이터를 정확히 관리하고 활용하여, 마케팅 활동의 성과를 추적하고 최적화한다."
MarketingS&K2세부지표5,세부지표5,Marketing,S&K2,Practical Experience,5. 분석적 사고,"할당된 작업을 정밀하게 수행할 뿐만 아니라, 과정을 더 깊이 이해하고 분석하여 개선한다."
MarketingS&K1세부지표1,세부지표1,Marketing,S&K1,Basic Job Knowledge,1. 기본 지식 이해,"GGPoker가 속해있는 산업군과 마케팅, 미디어 커뮤니케이션 전반에 대한 이해를 바탕으로 업무를 수행한다."
MarketingS&K1세부지표2,세부지표2,Marketing,S&K1,Basic Job Knowledge,2. 업무 수행,작업에 대한 전반적인 프로세스를 이해하고 기본적인 업무를 수행한다.
MarketingS&K1세부지표3,세부지표3,Marketing,S&K1,Basic Job Knowledge,3. 문제 보고,"마케팅 진행 중 발생하는 문제를 적시에 보고하고, 해결책을 제시하며, 진행 상황을 명확히 보고하여 업무의 원활한 진행을 지원한다."
MarketingS&K1세부지표4,세부지표4,Marketing,S&K1,Basic Job Knowledge,4. 시스템 활용,"마케팅 도구(e.g. SEO, Social media, Contents marketing, etc.)를 활용할 수 있다."
MarketingS&K1세부지표5,세부지표5,Marketing,S&K1,Basic Job Knowledge,5. 피드백 반영,"상사의 피드백을 반영하여 마케팅 전략과 실행 과정의 완성도를 높이며, 업무 수행 절차를 지속적으로 개선한다."
Quality AssuranceS&K6세부지표1,세부지표1,Quality Assurance,S&K6,Global Innovator,1. 혁신적 비전 제시,"글로벌 차원의 QA 트렌드를 제시하는 업계 최고 수준의 역량을 바탕으로, 중장기적 기술 혁신 비전을 수립하여 조직의 성장기반을 구축한다."
Quality AssuranceS&K6세부지표2,세부지표2,Quality Assurance,S&K6,Global Innovator,2. 글로벌 프로젝트 리딩,"전사 전략에 대해 시스템적 조언을 경영진에게 제공하고, 글로벌 관점에서 비즈니스 목표와 연계된 혁신적 전략을 추진하며, 글로벌 혁신 프로젝트를 리딩한다."
Quality AssuranceS&K6세부지표3,세부지표3,Quality Assurance,S&K6,Global Innovator,3. Global Industry Leader,"조직 내 최신 기술 동향과 기술적 노하우를 파악하여 전체에 전파하고, 기술적 비전과 프로덕트 방향을 제시하여 업계를 선도하고 글로벌 성과를 극대화한다."
Quality AssuranceS&K6세부지표4,세부지표4,Quality Assurance,S&K6,Global Innovator,4. 글로벌 리더십,"글로벌 차원의 Industry의 흐름을 이해하고, 혁신적 전략으로 업계를 선도한다."
Quality AssuranceS&K6세부지표5,세부지표5,Quality Assurance,S&K6,Global Innovator,5. 글로벌 파트너 협력,"글로벌 파트너와 협력하여 디자인 및 기술 혁신을 주도하고, 그룹의 경쟁력을 강화한다."
Quality AssuranceS&K5세부지표1,세부지표1,Quality Assurance,S&K5,Innovation,1. 혁신적 설계,QA 관련 혁신 기술을 바탕으로 조직이 산업 내 선도적 위치를 차지할 수 있도록 혁신적인 솔루션을 설계하고 실행한다.
Quality AssuranceS&K5세부지표2,세부지표2,Quality Assurance,S&K5,Innovation,2. 시장 변화 대응,"시장의 변화와 기술 동향을 분석하여 중장기적 리스크를 대비하고, 이를 바탕으로 시장 변화에 선제적으로 대응하는 전략적 대안을 도출한다."
Quality AssuranceS&K5세부지표3,세부지표3,Quality Assurance,S&K5,Innovation,3. 기술 및 비즈니스 융합,도메인 지식을 활용하여 조직이 산업 내 선도적 위치를 차지할 수 있도록 기술과 비즈니스를 융합한 혁신적 비즈니스 및 기술 전략을 수립하여 성과를 창출한다.
Quality AssuranceS&K5세부지표4,세부지표4,Quality Assurance,S&K5,Innovation,4. 성과 지속성,"지속 가능한 성과 창출을 목표로 장기적인 혁신 전략을 실행하고, 조직의 경쟁력과 성과를 지속적으로 강화한다."
Quality AssuranceS&K5세부지표5,세부지표5,Quality Assurance,S&K5,Innovation,5. 미래 기술 적용,"장기적인 리스크 관리와 기술 동향을 반영하여 미래를 대비한 기술 솔루션을 도입하고, 조직이 변화에 능동적으로 대응할 수 있도록 설계한다."
Quality AssuranceS&K4세부지표1,세부지표1,Quality Assurance,S&K4,Providing Solutions,1. 솔루션 제시,"새로운 기술과 접근법을 탐구하여, 품질 보증 프로세스에서 발생하는 이슈와 기술적 문제를 분석하고 솔루션을 제시한다."
Quality AssuranceS&K4세부지표2,세부지표2,Quality Assurance,S&K4,Providing Solutions,2. 다수 프로젝트 리딩,"조직 내 공동 목표 달성을 위해 여러 프로젝트의 Milestone을 효율적으로 관리하며, 전사적인 프로젝트를 리딩/ 완수하여 조직 성과를 극대화한다."
Quality AssuranceS&K4세부지표3,세부지표3,Quality Assurance,S&K4,Providing Solutions,3. 혁신적 솔루션 적용,"업계의 최신 트렌드와 기술 동향을 연구하여, 프로젝트 결과물에 대한 최적의 솔루션을 제안하고, 새로운 기술과 접근법을 도입해 문제를 해결한다."
Quality AssuranceS&K4세부지표4,세부지표4,Quality Assurance,S&K4,Providing Solutions,4. Long term 프로젝트 관리,Long Term Project 전반에 걸친 계획을 수립하고 최적의 솔루션을 제안하고 프로젝트가 원활히 진행될 수 있도록 주도적으로 협의한다.
Quality AssuranceS&K4세부지표5,세부지표5,Quality Assurance,S&K4,Providing Solutions,5. 지속적 개선,Industry에 대한 심층적 이해를 바탕으로 장기적인 Risk를 대비하고 지속적으로 프로세스 개선을 주도한다.
Quality AssuranceS&K3세부지표1,세부지표1,Quality Assurance,S&K3,Build 360 Workflow,1. 프로세스 고도화,"타 조직의 다양한 관점을 폭넓게 통합하여 기존 프로세스를 지속적으로 개선하고, 업무 수행의 품질을 향상한다."
Quality AssuranceS&K3세부지표2,세부지표2,Quality Assurance,S&K3,Build 360 Workflow,2. 프로젝트 리딩,"품질 지표 및 매트릭스 분석 결과를 바탕으로 프로젝트의 흐름을 이해하며, 핵심 마일스톤 달성을 위한 방향성을 제시한다."
Quality AssuranceS&K3세부지표3,세부지표3,Quality Assurance,S&K3,Build 360 Workflow,3. 복합적 문제해결,"프로젝트에 대한 깊은 이해를 바탕으로 다양한 방법을 적용하여, 발생한 문제를 신속하게 해결하고 품질 수준을 향상시킨다."
Quality AssuranceS&K3세부지표4,세부지표4,Quality Assurance,S&K3,Build 360 Workflow,4. 프로젝트 관리,프로덕트 구조에 대한 높은 이해도를 바탕으로 효율적으로 프로젝트를 관리한다.
Quality AssuranceS&K3세부지표5,세부지표5,Quality Assurance,S&K3,Build 360 Workflow,5. 전략적 요구 대응,"여러 조직(파트/팀)의 품질 관련 요구사항과 비즈니스 목표를 종합하여 복잡한 결함을 해결하고, 팀/유관부서와의 협력을 통해 품질 목표를 성공적으로 달성한다."
Quality AssuranceS&K2세부지표1,세부지표1,Quality Assurance,S&K2,Practical Experience,1. 프로세스 이해,조직(팀/파트) 업무 전반에 대한 높은 이해를 바탕으로 콘텐츠 개선을 건의하고 QA Plan 도출한다.
Quality AssuranceS&K2세부지표2,세부지표2,Quality Assurance,S&K2,Practical Experience,2. 업무 독립성,"체계적인 업무 수행 역량을 바탕으로, 프로젝트를 이해하고, 능동적으로 주어진 과제를 완수하여 조직의 기대에 부합하는 결과를 효과적으로 도출한다."
Quality AssuranceS&K2세부지표3,세부지표3,Quality Assurance,S&K2,Practical Experience,3. 문제 해결,"다양한 플랫폼과 환경에서 테스트를 실시하여 시스템적 이슈의 원인을 분석하고, 스스로 해결책을 제시한다."
Quality AssuranceS&K2세부지표4,세부지표4,Quality Assurance,S&K2,Practical Experience,4. 데이터 관리,"테스트 과정에서 생성되는 시스템 데이터를 정확히 관리하고 활용하여, 테스트 결과의 일관성과 신뢰성을 확보한다."
Quality AssuranceS&K2세부지표5,세부지표5,Quality Assurance,S&K2,Practical Experience,5. 분석적 사고,구성원의 Test Case를 사전적으로 리뷰하고 risk에 대한 분석하고 개선안을 제안한다.
Quality AssuranceS&K1세부지표1,세부지표1,Quality Assurance,S&K1,Basic Job Knowledge,1. 기본 지식 이해,"담당 업무에 대한 도메인 지식, 테스트 기본 원칙 및 절차에 대한 이해를 바탕으로 업무를 수행한다."
Quality AssuranceS&K1세부지표2,세부지표2,Quality Assurance,S&K1,Basic Job Knowledge,2. 업무 수행,작업에 대한 전반적인 프로세스를 이해하고 기본적인 업무를 수행한다.
Quality AssuranceS&K1세부지표3,세부지표3,Quality Assurance,S&K1,Basic Job Knowledge,3. 문제 보고,문제 발생 시 적시에 보고하고 해결하기 위해 노력한다.
Quality AssuranceS&K1세부지표4,세부지표4,Quality Assurance,S&K1,Basic Job Knowledge,4. 시스템 활용,"BTS를 통한 이슈 트래킹을 할 수 있으며, 개발자 도구 툴을 원할히 사용할 수 있다."
Quality AssuranceS&K1세부지표5,세부지표5,Quality Assurance,S&K1,Basic Job Knowledge,5. 피드백 반영,구성원들로부터의 건설적인 피드백을 수용하여 업무 방식을 지속적으로 개선한다.
ArtS&K6세부지표1,세부지표1,Art,S&K6,Global Innovator,1. 혁신적 비전 제시,"글로벌 최고 디자인 전문가로서 중장기적인 기술 혁신 비전을 제시하며, 글로벌 산업을 리드한다."
ArtS&K6세부지표2,세부지표2,Art,S&K6,Global Innovator,2. 글로벌 프로젝트 리딩,"전사 전략에 대해 시스템적 조언을 경영진에게 제공하고, 글로벌 관점에서 비즈니스 목표와 연계된 혁신적 전략을 추진하며, 글로벌 혁신 프로젝트를 리딩한다."
ArtS&K6세부지표3,세부지표3,Art,S&K6,Global Innovator,3. Global Industry Leader,"조직 내 최신 기술 동향과 기술적 노하우를 파악하여 전체에 전파하고, 기술적 비전과 프로덕트 방향을 제시하여 업계를 선도하고 글로벌 성과를 극대화한다."
ArtS&K6세부지표4,세부지표4,Art,S&K6,Global Innovator,4. 글로벌 리더십,"글로벌 차원에서 업계 최고 수준의 역량을 발휘하여, 글로벌 시장에서 기술과 비즈니스의 혁신을 선도한다."
ArtS&K6세부지표5,세부지표5,Art,S&K6,Global Innovator,5. 글로벌 파트너 협력,"글로벌 파트너와 협력하여 디자인 및 기술 혁신을 주도하고, 그룹의 경쟁력을 강화한다."
ArtS&K5세부지표1,세부지표1,Art,S&K5,Innovation,1. 혁신적 설계,"조직의 장기적 비즈니스 목표와 일치하도록 프로젝트를 설계하고, 기술적 및 시장적 요구를 반영한 전략적 의사결정을 통해 프로젝트 성과를 극대화한다."
ArtS&K5세부지표2,세부지표2,Art,S&K5,Innovation,2. 시장 변화 대응,"프로젝트 및 전사적 차원의 기술 혁신을 리드하며, 미래를 대비한 기술 솔루션을 도입하여 조직의 경쟁력을 강화한다."
ArtS&K5세부지표3,세부지표3,Art,S&K5,Innovation,3. 기술 및 비즈니스 융합,브랜드의 차별화를 명확히 하여 기술과 비즈니스 요소를 융합한 산업 내 혁신적 브랜드 포지셔닝을 통해 조직의 장기적인 성과를 창출한다.
ArtS&K5세부지표4,세부지표4,Art,S&K5,Innovation,4. 성과 지속성,브랜드와 기술 혁신을 지속적으로 추구하여 조직의 장기적인 성과를 창출하고 유지할 수 있는 기반을 구축한다.
ArtS&K5세부지표5,세부지표5,Art,S&K5,Innovation,5. 미래 기술 적용,"경쟁사 대비 브랜드의 차별화를 명확히 하고, 산업 내 혁신적 브랜드 포지셔닝을 통해 조직의 장기적인 성과 창출한다."
ArtS&K4세부지표1,세부지표1,Art,S&K4,Providing Solutions,1. 솔루션 제시,"다양한 프로젝트에 대한 리드가 가능하며, 프로젝트 결과물에 대한 최적의 솔루션을 제안한다."
ArtS&K4세부지표2,세부지표2,Art,S&K4,Providing Solutions,2. 다수 프로젝트 리딩,"조직 내 공동 목표 달성을 위해 여러 프로젝트의 Milestone을 효율적으로 관리하며, 전사적인 프로젝트를 리딩/ 완수하여 조직 성과를 극대화한다."
ArtS&K4세부지표3,세부지표3,Art,S&K4,Providing Solutions,3. 혁신적 솔루션 적용,"산업에 대한 깊은 이해를 바탕으로, 새로운 제도와 선도기술을 도입하여 업계를 선도할 수 있는 Brand Identity를 제시하고 문제를 혁신적으로 해결한다."
ArtS&K4세부지표4,세부지표4,Art,S&K4,Providing Solutions,4. Long term 프로젝트 관리,Long Term Project 전반에 걸친 계획을 수립하고 최적의 솔루션을 제안하고 프로젝트가 원활히 진행될 수 있도록 주도적으로 협의한다.
ArtS&K4세부지표5,세부지표5,Art,S&K4,Providing Solutions,5. 지속적 개선,"프로젝트 결과물의 품질을 지속적으로 개선하고, 최적의 솔루션을 제공한다."
ArtS&K3세부지표1,세부지표1,Art,S&K3,Build 360 Workflow,1. 프로세스 고도화,"타 조직의 다양한 관점을 폭넓게 통합하여 기존 프로세스를 지속적으로 개선하고, 업무 수행의 품질을 향상시키기 위해 일관된 디자인을 위한 가이드와 스타일 가이드를 체계적으로 작성한다."
ArtS&K3세부지표2,세부지표2,Art,S&K3,Build 360 Workflow,2. 프로젝트 리딩,"프로덕트 구조에 대한 높은 이해도를 바탕으로 프로젝트 흐름을 파악하고, 핵심 마일스톤을 달성하기 위한 방향성을 제시한다."
ArtS&K3세부지표3,세부지표3,Art,S&K3,Build 360 Workflow,3. 복합적 문제해결,"프로젝트에 대한 폭넓은 이해를 바탕으로 전략과 방법론을 적용하여 발생한 문제를 신속히 해결하고, 작업물의 품질을 향상시킨다."
ArtS&K3세부지표4,세부지표4,Art,S&K3,Build 360 Workflow,4. 프로젝트 관리,프로젝트에 대한 폭넓은 이해를 바탕으로 다양한 전략과 방법론을 적용하여 작업물의 품질을 향상시킨다.
ArtS&K3세부지표5,세부지표5,Art,S&K3,Build 360 Workflow,5. 전략적 요구 대응,"디자인 가이드와 스타일 가이드를 작성하여 팀 간 일관된 디자인을 유지하며, 팀/유관부서와 협력하여 목표를 달성하는데 기여한다."
ArtS&K2세부지표1,세부지표1,Art,S&K2,Practical Experience,1. 프로세스 이해,"사용자 관점에서 니즈를 파악하고 Art 산출물을 제작하여, 실무 중심의 프로세스를 이해하고 이를 통해 아트 작업을 최적화한다."
ArtS&K2세부지표2,세부지표2,Art,S&K2,Practical Experience,2. 업무 독립성,"체계적인 업무 수행 역량을 바탕으로, 프로젝트를 이해하고, 능동적으로 주어진 과제를 완수하여 조직의 기대에 부합하는 결과를 효과적으로 도출한다."
ArtS&K2세부지표3,세부지표3,Art,S&K2,Practical Experience,3. 문제 해결,"디자인 트렌드와 새로운 툴을 학습하여 프로젝트에 적용하면서 발생하는 문제를 스스로 해결하고, 아트 작업의 품질을 향상시킨다."
ArtS&K2세부지표4,세부지표4,Art,S&K2,Practical Experience,4. 데이터 관리,"아트 리소스와 관련된 데이터를 정확하게 관리하고 활용하여, 작업물의 일관성과 품질을 유지시킨다."
ArtS&K2세부지표5,세부지표5,Art,S&K2,Practical Experience,5. 분석적 사고,"할당된 작업을 정밀하게 수행할 뿐만 아니라, 과정을 더 깊이 이해하고 분석하여 개선한다."
ArtS&K1세부지표1,세부지표1,Art,S&K1,Basic Job Knowledge,1. 기본 지식 이해,"게임 산업군을 이해하고, 게임 리소스 제작 및 시안 제작에 대한 기본 지식을 바탕으로 업무를 수행한다."
ArtS&K1세부지표2,세부지표2,Art,S&K1,Basic Job Knowledge,2. 업무 수행,작업에 대한 전반적인 프로세스를 이해하고 기본적인 업무를 수행한다.
ArtS&K1세부지표3,세부지표3,Art,S&K1,Basic Job Knowledge,3. 문제 보고,"리소스 제작 중 발생하는 문제를 적시에 보고하고, 이를 해결하기 위한 대안을 제시한다."
ArtS&K1세부지표4,세부지표4,Art,S&K1,Basic Job Knowledge,4. 시스템 활용,"회사 사용 툴을 숙달하여 활용하며, 게임 리소스 제작 및 시안 제작에 필요한 도구들을 효과적으로 사용한다."
ArtS&K1세부지표5,세부지표5,Art,S&K1,Basic Job Knowledge,5. 피드백 반영,"상사의 피드백을 반영하여 아트 작업물의 완성도를 높이고, 업무 과정에서 지속적인 개선을 추구한다."
Project ManagementS&K6세부지표1,세부지표1,Project Management,S&K6,Global Innovator,1. 혁신적 비전 제시,"글로벌 차원의 Trend를 창출 및 선도하여 혁신적 비전을 제시하여, Market 전반을 확대하고 장기적인 성장 기반을 구축한다."
Project ManagementS&K6세부지표2,세부지표2,Project Management,S&K6,Global Innovator,2. 글로벌 프로젝트 리딩,"전사 전략에 대해 시스템과 프로덕트 관점에서 경영진에게 조언을 제공하고, 글로벌 관점에서 비즈니스 목표와 연계된 혁신적 전략을 추진하며, 글로벌 혁신 프로젝트를 리딩한다."
Project ManagementS&K6세부지표3,세부지표3,Project Management,S&K6,Global Innovator,3. Global Industry Leader,"업계 최신 기술 동향과 기술적 노하우를 파악하여 전체에 전파하고, 기술적 비전과 프로덕트의 방향성을 제시하여 업계를 선도하고 글로벌 성과를 극대화한다."
Project ManagementS&K6세부지표4,세부지표4,Project Management,S&K6,Global Innovator,4. 글로벌 리더십,"혁신적인 프로덕트를 기획하여 글로벌 시장에서 비즈니스와 기술을 선도하며, 시장 전반을 확대할 수 있는 영향력을 발휘한다."
Project ManagementS&K6세부지표5,세부지표5,Project Management,S&K6,Global Innovator,5. 글로벌 파트너 협력,"다양한 글로벌 파트너, 산업 및 커뮤니티와 협력하여 기술 혁신을 주도하고, 시장 변화에 맞춰 조직의 비즈니스 가치를 강화한다."
Project ManagementS&K5세부지표1,세부지표1,Project Management,S&K5,Innovation,1. 혁신적 설계,"시장의 트렌드를 예측하여 장기적인 혁신 제품 전략을 수립하고, 새로운 제품 아이디어를 통해 시장에서 차별화된 경쟁 우위를 확보한다."
Project ManagementS&K5세부지표2,세부지표2,Project Management,S&K5,Innovation,2. 시장 변화 대응,"조직 내 혁신적인 전략 기획을 통해 기존 시장의 한계를 극복하고, 시장 변화에 맞춘 새로운 비즈니스 기회를 창출한다."
Project ManagementS&K5세부지표3,세부지표3,Project Management,S&K5,Innovation,3. 기술 및 비즈니스 융합,"시장과 서비스에 대한 이해를 바탕으로 서비스의 혁신적인 개선안을 제시하여, 기술과 비즈니스를 융합한 솔루션으로 성장을 주도한다."
Project ManagementS&K5세부지표4,세부지표4,Project Management,S&K5,Innovation,4. 성과 지속성,"지속 가능한 성과 창출을 목표로 장기적인 혁신 전략을 실행하고, 조직의 경쟁력과 성과를 지속적으로 강화한다."
Project ManagementS&K5세부지표5,세부지표5,Project Management,S&K5,Innovation,5. 미래 기술 적용,최신 기술 트렌드와 비즈니스 요구를 통합하여 혁신적인 프로젝트 관리 방식과 기술 솔루션을 도입하여 프로젝트 성공률을 극대화한다.
Project ManagementS&K4세부지표1,세부지표1,Project Management,S&K4,Providing Solutions,1. 솔루션 제시,"중장기적인 비즈니스 관점에서 프로덕트의 개선안을 제안하여, 조직의 핵심 이슈와 기술적 문제를 분석하고 해결책을 제시한다."
